,n_windows,score_BigBonus,score_BigLoss,score_MinorBonus,score_MinorLoss,win_rate,yield_rate
519,8,6,-10,4,-4,0.515625,0.065577254
520,12,6,-10,4,-4,0.516741071,0.27449747
521,16,6,-10,4,-4,0.522321429,0.999040271
522,20,6,-10,4,-4,0.522321429,1.371540253
523,24,6,-10,4,-4,0.520089286,0.807779268
524,28,6,-10,4,-4,0.510044643,0.270935002
525,4,6,-10,6,-4,0.517857143,0.132579167
526,8,6,-10,6,-4,0.515625,0.208778687
527,12,6,-10,6,-4,0.524553571,0.362126899
528,16,6,-10,6,-4,0.518973214,0.935200305
529,20,6,-10,6,-4,0.517857143,1.295103587
530,24,6,-10,6,-4,0.518973214,0.557768769
